"ID";"Airports";"Periods";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"TotalDeparturesPassengers_18";"TotalCountryOfOriginDestination_21";"EuropeTotal_22";"EUCountries_23";"TotalIntercontinentalPassengers_25";"America_32";"Asia_36";"WestAsia_37";"SouthEastAsia_38";"NorthEastAsia_39"
"2362";"A043593";"2004MM05";"     199";"      99";"     100";"   13993";"    6777";"    7216";"   13993";"   13993";"    9647";"       0";"       0";"       0";"       0";"       0";"       0"
"2363";"A043593";"2004MM06";"     196";"      97";"      99";"   12585";"    6672";"    5913";"   12585";"   12585";"    9059";"       0";"       0";"       0";"       0";"       0";"       0"
"2364";"A043593";"2004KW02";"     578";"     287";"     291";"   38002";"   18418";"   19584";"   38002";"   38002";"   29294";"       0";"       0";"       0";"       0";"       0";"       0"
"2365";"A043593";"2004MM07";"     180";"      91";"      89";"   12049";"    5586";"    6463";"   12049";"   12049";"    8629";"       0";"       0";"       0";"       0";"       0";"       0"
"2366";"A043593";"2004MM08";"     164";"      82";"      82";"   12319";"    6560";"    5759";"   12319";"   12319";"    8811";"       0";"       0";"       0";"       0";"       0";"       0"
"2367";"A043593";"2004MM09";"     185";"      91";"      94";"   13171";"    6439";"    6732";"   13171";"   13171";"    9733";"       0";"       0";"       0";"       0";"       0";"       0"
"2368";"A043593";"2004KW03";"     529";"     264";"     265";"   37539";"   18585";"   18954";"   37539";"   37539";"   27173";"       0";"       0";"       0";"       0";"       0";"       0"
"2369";"A043593";"2004MM10";"     171";"      85";"      86";"   10211";"    5940";"    4271";"   10211";"   10207";"    7192";"       4";"       4";"       0";"       0";"       0";"       0"
"2370";"A043593";"2004MM11";"     111";"      53";"      58";"    4056";"    1843";"    2213";"    4056";"    4056";"    3894";"       0";"       0";"       0";"       0";"       0";"       0"
"2371";"A043593";"2004MM12";"      86";"      44";"      42";"    3447";"    1867";"    1580";"    3447";"    3447";"    3154";"       0";"       0";"       0";"       0";"       0";"       0"
"2372";"A043593";"2004KW04";"     368";"     182";"     186";"   17714";"    9650";"    8064";"   17714";"   17710";"   14240";"       4";"       4";"       0";"       0";"       0";"       0"
"2373";"A043593";"2004JJ00";"    1925";"     955";"     970";"  119218";"   59561";"   59657";"  119218";"  119214";"   96600";"       4";"       4";"       0";"       0";"       0";"       0"
"2374";"A043593";"2005MM01";"      96";"      47";"      49";"    4387";"    2169";"    2218";"    4387";"    4387";"    4387";"       0";"       0";"       0";"       0";"       0";"       0"
"2375";"A043593";"2005MM02";"     108";"      53";"      55";"    4908";"    2478";"    2430";"    4908";"    4908";"    4908";"       0";"       0";"       0";"       0";"       0";"       0"
"2376";"A043593";"2005MM03";"     120";"      61";"      59";"    4737";"    2412";"    2325";"    4737";"    4737";"    4439";"       0";"       0";"       0";"       0";"       0";"       0"
"2377";"A043593";"2005KW01";"     324";"     161";"     163";"   14032";"    7059";"    6973";"   14032";"   14032";"   13734";"       0";"       0";"       0";"       0";"       0";"       0"
